Year,S. No,Project Registration No.,Name & Address of Promoter,Project Details & Address,Approval Details,Project Completion Date,Other Details Links,Current Status of Project
2024,123,TN/29/Building/0423/2024 dated 16-07-2024,"TNUHDB, NO.2, Kannagi St, Avadi, Kamaraj Nagar, Thiruvallur, TamilNadu - 600071, Chennai, Chennai, Tamil Nadu-600071.","Registration for Residential Building (Affordable Housing) Ground + 5 Floors   with 78  Dwelling units comprised in East Coovum River road, Padavattamman Koil Street, Bazaar Street, Chintadripet, Chennai in T.S.No.3pt, Block.3, T.S.No.67pt, 68, 69, 70, Block 4, Chindaripet village within the limits of Greater Chennai Corporation Chennai District.","CMDA issued planning permission in Letter No. PC/NHRB/B3/507/2023 dated 25.09.2023. Greater Chennai Corporation  issued building permission in Letter No.CEBA/WDCN05/00078/2024, Dated 11/03/2024.",31.07.2026,"https://rera.tn.gov.in/public-view1/building/pfirm/19fcba80-fba2-11ee-af3f-612734201c8e, https://rera.tn.gov.in/public-view2/building/pfirm/5b3a43c0-fd7b-11ee-923b-7172a7bddd7d",
2024,124,TN/11/Building/0424/2024 dated 16-07-2024,"JMJ HOUSING LIMITED, 556 C, S.S Complex, D.B. Road, R.Spuram, Coiimbatore-02., Coimbatore, Coimbatore, Tamil Nadu-641002.","Project Name: MR RESIDENCY Registration for  Block - B ( Flat Nos. 1 to 25) of  Stilt Floor + 5 Floors Residential Building with 45 Dwelling Units at Ward D(4), Block No. 72, comprised in  Old S.Nos. 155/2B, T.S.No. 2, 3, 4 of Kavundampalayam, Village, Coimbatore District.","The Assistant Director/ Joint Director (i/c), T&CP, Coimbatore, issued Planning Permission in Letter No. 3608/2022/LPA, Dated 20/06/2023. The Commissioner, Coimbatore City Municipal Corporation issued building permission in Letter No. 162/BL/2023/03/016/03591, Dated 20/06/2023.",22.09.2028,"https://rera.tn.gov.in/public-view1/building/pfirm/bc5e0d00-084b-11ef-b1be-e1d957070805, https://rera.tn.gov.in/public-view2/building/pfirm/ae017d20-0875-11ef-8784-f3660e97a687",
2024,125,TN/29/Building/0425/2024 dated 16-07-2024,"M/s.NEST ZONE INDIA PRIVATE LIMITED, Kamarajar Nagar 4th Street, Choolaimedu Village , Chennai, Chennai, Tamil Nadu-600094.","Project Name: NEST MOJO Registration for  Stilt Floor + 5 Floors residential building with 123 dwelling units (Affordable Housing) (Indoor Games Room and GYM at 5th Floor) at Modern Layout 2nd Main Road, Padur, Chengalpattu comprised in S.No: 365/5B, 366/1, Patta No: 503 of Padur Village, Thiruporur Taluk, Chengalpattu District.","The Assistant Director, T&CP, Chengalpattu District issued Planning Permission in Lr No: SWP/BPA/017577/2023 dated 27.05.2024. The President, Padur Village panchayat issued Building Permission in Lr ROC No: 04 dated 15.06.2024.",30.06.2026,"https://rera.tn.gov.in/public-view1/building/pfirm/8be6db30-2fe5-11ef-bd52-59d84a2ac8f0, https://rera.tn.gov.in/public-view2/building/pfirm/e6dfe850-2fea-11ef-ba31-098f7b6d5c30",
2024,126,TN/29/Building/0426/2024 dated 16-07-2024,"Sreerosh Properties Private Ltd, Old No.41, New No.97, 2nd Floor, Sreerosh Centre, New Avadi Road, Kilpauk, Chennai, Chennai, Tamil Nadu-600010.","Project Name: Sreerosh Petunia Registration of Residential Building consisting of Stilt Floor +5 Floors (Height 18.30m) with 10 dwelling units availing Premium FSI at Door No.67(28), Taylors Road, Kilpauk, Chennai - 600 010 comprised in  Old S.No.272, Old R.S.No.154/16, T.S. No.154/183, Block No.13 of Egmore Village within the limits of Greater Chennai Corporation, Chennai District.","Chennai Metropolitan Development Authority (CMDA) issued planning permission in P.P.No. OL-PP/NHRB/0212/2024 in Letter No. CMDA/PP/NHRB/N/0126/2024, dated 24/05/2024. Greater Chennai Corporation (GCC) issued building permission in Letter No. CEBA/WDCN08/00237/2024, Dated 07/06/2024.",31.03.2026,"https://rera.tn.gov.in/public-view1/building/pfirm/7a0a7120-32e5-11ef-befd-a7b343209120, https://rera.tn.gov.in/public-view2/building/pfirm/c5ebe270-32e8-11ef-a4e5-f794bc0551c0",
2024,127,TN/29/Building/0427/2024 dated 22-07-2024,"P.S. RAVINDRAN, Door No.217, Plot No.4617, Y - Block,  Second Avenue,  Anna Nagar, Mullam Village , Naduvakkarai, Taluk.Aminjikarai, Chennai, Tamil Nadu-600040.
 
                                                                 ARJUN, Door No.217, Plot No.4617, Y - Block,  Second Avenue,  Anna Nagar, Mullam Village , Naduvakkarai, Taluk.Aminjikarai, Chennai, Tamil Nadu-600040.
 
                                                                 KASTHURI, Door No.217, Plot No.4617, Y - Block,  Second Avenue,  Anna Nagar, Mullam Village , Naduvakkarai, Taluk.Aminjikarai, Chennai, Tamil Nadu-600040.","Registration of Basement Floor (part) + Ground Floor (part) / Stilt Floor (part)+ 1st Floor Show Room + 2nd, 3rd Floor and 4th Floor (part) Officer Commercial building at Plot No. 4617, Door No. 217, Y - Block, 2nd Avenue, Anna Nagar, Chennai - 600 040 comprised in Old Survey No. 51 part, T.S.No.4, Block No. 1 A of Naduvakkarai Village,  within the limits of Greater Chennai Corporation, Chennai District.","CMDA issued planning permission in PP. No. B/NHRB/04/2021 in Letter No. PP/NHRB/N/395/2020, dated 08/01/2021. Greater Chennai Corporation issued Building Permission in Letter No. CEBA/WDCN08/00069/2021, dated 08/03/2021.",Completed,"https://rera.tn.gov.in/public-view1/building/pindividiual/f6c14440-3dee-11ef-8ac5-d518f4974709, https://rera.tn.gov.in/public-view2/building/pindividiual/ac700800-3eab-11ef-adc0-c9775c70d5a4",
2024,128,TN/1/Building/0428/2024 dated 23-07-2024,"M/s.MP DEVELOPERS, Plot No.Plot No.3, Tannery Street, Somasundaram Nagar, Pallavaram, Chengalpattu, Tamil Nadu-600043.","Project Name: MP KUMUDAM ENCLAVE 1. Registration of a Residential Building Ground Floor + 2 Floors with 115 Dwelling Units at Plot Nos.1 to 13 & 18 to 30, Comprised in S.No.143/1, ""KUMUDAM ENCLAVE"", Kundrathur Village & Municipality, Kundrathur Taluk, Kancheepuram District.","The Commissioner, Kundrathur Panchayat issued Planning Permission Lr.Nos:545/2023, 546/2023, 547/2023, 548/2023, 549/2023, 550/2023, 551/2023, 552/2023, 553/2023, 554/2023, 555/2023, dated 27.12.2023 & 72/2024 dated 27.05.2024 & 37/2024 dated 08.04.2024 & 507/2023 dated 30.11.2023 & 44/2024, 45/2024, 46/2024 dated 03.05.2024. The Commissioner, Kundrathur Panchayat issued Building Permission Lr.Nos:179/BL/2023/00544, 179/BL/2023/00545, 179/BL/2023/00546, 179/BL/2023/00547, 179/BL/2023/00548, 179/BL/2023/00549, 179/BL/2023/00550, 179/BL/2023/00551,179/BL/2023/00552, 179/BL/2023/00553, 179/BL/2023/00554 dated 27.12.2023 & 179/BL/2024/00074 dated 27.05.2024 & 179/BL/2024/00039 dated 08.04.2024 & 179/BL/2023/00506 dated 30.11.2023 & 179/BL/2024/00046, 179/BL/2023/00047, 179/BL/2024/00048 dated 03.05.2024.

2. The promoter has mortaged the property ""with out possession"" infavour of M/s.Brios Finvest India Ltd.",29.11.2028,"https://rera.tn.gov.in/public-view1/building/pfirm/3d6c33a0-1bf1-11ef-aa40-2525938f8e26, https://rera.tn.gov.in/public-view2/building/pfirm/76c93890-1bf5-11ef-ae8b-ed5fd9eae405",
2024,129,TN/11/Building/0429/2024 dated 23-07-2024,"M/s.MAYFLOWER INFRASTRUCTURES, Mayflower,72,Balasundaram, Coimbatore, Coimbatore, Tamil Nadu-641018.","Project Name: MAYFLOWER EMERALD Registration for Stilt Floor + Basement Floor + 9 Floors Residential Building with 116  Dwelling Units at Block 10, Ward-AC(29), Govindasamy Nagar Layout Road comprised in Old S.F.No.181pt, 182pt, New T.S.No.68, of Sowripalayam Village, Coimbatore South Taluk, Coimbatore District.","Joint Director, T&CP, Coimbatore, issued planning permission No. 301/2024 in Application No. SWP/BPA/0097407/2024 Dated 23/05/2024. The Commissioner, Coimbatore Corporation  issued building permission in B.L.No. 162/BL/2024/02/050/01769 Dated 20/06/2024.",23.05.2030,"https://rera.tn.gov.in/public-view1/building/pfirm/072fdf60-2d57-11ef-bbd8-97a85babf643, https://rera.tn.gov.in/public-view2/building/pfirm/0da4bf20-2d5a-11ef-b4e2-116b37fcadde",
2024,130,TN/29/Building/0430/2024 dated 24-07-2024,"A.R. FOUNDATIONS PRIVATE LIMITED, Door No.148, Acropolis Building, Ground Floor, Dr.Radhakrishnan Road, Mylapore, Chennai, Tamil Nadu-600004.","Project Name: AMARA AHAANA Registration of High Rise Building with 42.0m height consisting of Extended Basement Floor (Parking) + Stilt Floor (Parking) + 1st Floor to 11th Floor + 12th Floor part Residential building with 23 dwelling units and Gym in 12th Floor & Swimming Pool at Terrace floor availing Premium FSI at Old Door No.1, 2 & 2A, New Door No.1, 3 & 3/1 abutting Taylors Road, Kilpauk, Chennai - 600 010 in T.S. No.143/1, Block No.11 of Egmore Village, Egmore Taluk, Greater Chennai Corporation, Chennai District.","CMDA issued Planning Permission in PP. No. OL-PP/HRB/0018/2024 in Letter No.CMDA/PP/HRB/N/0039/2024, dated 02-07-2024. GCC issued Building Permission in Letter No. CEBA/WDCN08/00316/2024, dated 05/07/2024.",31.12.2028,"https://rera.tn.gov.in/public-view1/building/pfirm/87882110-4056-11ef-8401-33a792a951de, https://rera.tn.gov.in/public-view2/building/pfirm/1e288960-40db-11ef-aec5-e59587cb963a",
2024,131,TN/35/Building/0431/2024 dated 24-07-2024,"M/s.Jones Foundations Pvt Ltd, Door No.2, Moovarasampet Main Road, Madipakkam, Chengalpattu, Tamil Nadu-600091.","Project Name: JONES CASSIA VIII Registration of construction of Group Housing Development with 11 Blocks; Block A, B & C – Stilt floor (part) / Ground floor (Part) + First floor + Second floor (Part) (Height – 10.50m) Residential Building with 7 Dwelling Units (Duplex Type Houses in each block); Block D & E – Stilt floor (part) / Ground floor (Part) + First floor + Second floor (Part) (Height – 10.50m) Residential Building with 8 Dwelling Units (Duplex Type Houses in each block); Block F – Stilt floor (part) / Ground floor (Part) + First floor + Second floor (Part) (Height – 10.50m) Residential Building with 9 Dwelling Units (Duplex Type House); Block G, H, I, J & K – Stilt floor (part) / Ground floor (Part) + First floor + Second floor (Part) (Height – 10.50m) Residential Building with 4 Dwelling Units (Duplex Type Houses in each block); totally 66 dwelling units at S.No.284/1A,  285/1, 285/2A, 285/2B, 285/2C1A, 285/2C1B, 285/2C2 & 285/2D of Ottiyambakkam Village within the Limits of St.Thomas Mount Panchayat Union, Chennai District.","CMDA issued Planning Permission in P.P.No. OL-PP/NHRB/0161/2024 in Lr.No.CMDA/PP/NHRB/S/0572/2023 dated 03/05/2024. The President, Ottiyambakkam Village Panchayat issued Building Permission in Building Licence No. & Date: 23/2023-2024 dated 03/06/2024.",31.05.2026,"https://rera.tn.gov.in/public-view1/building/pfirm/05c421b0-2327-11ef-9716-d1ab9ecbe1b8, https://rera.tn.gov.in/public-view2/building/pfirm/6c9a2b30-2332-11ef-9ff3-5b8108659a7c",
2024,132,TN/35/Building/0432/2024 dated 25-07-2024,"M/s.ARUN EXCELLO HOMES PRIVATE LIMITED, Door No.18, BHATTAD TOWERS, WEST COTT ROAD, ROYAPETTAH, Chennai, Tamil Nadu-600014.","Project Name: ZIVA AMRITAVARSHINI Registration for Residential Buildings with Block- A and B consisting of Ground Floor + First Floor with 32 Villa Units comprised in Survey No. 221/14A1A3, 221/14A1A4 & 220/2A1B of Perumaleri Village, Vadakadampadi Panchayat, Thirukazhukundram Panchayat Union / Taluk, Chengalpattu District.","The Assistant Director, T & CP, Chengalpattu District issued Planning Permission in SWP/B.P/M.L.P.A (CD-5) No. 53/2024 in Letter No.SWP/BPA/0097185/2024, Dated 31/05/2024. The President,  Vadakadampadi Panchayat issued Building Permission in Letter ROC. No. 02, Dated 05.07.2024",31.12.2027,"https://rera.tn.gov.in/public-view1/building/pfirm/38f81040-3b5c-11ef-84d8-4d4df43fe23b, https://rera.tn.gov.in/public-view2/building/pfirm/8953e160-3b6b-11ef-b109-bdf081d625a8",
2024,133,TN/29/Building/0433/2024 dated 25-07-2024,"M/s.Tamil Nadu Urban Habitat Development Board, North Giriyappa Road, T.Naagar Village , Taluk.Guindy, Chennai, Tamil Nadu-600017.","Registration of 2 Blocks of Block 1: Stilt Floor + 6 Floors residential building with 96 dwelling units & Block 2: Stilt Floor + 6 Floors residential building with 96 dwelling units (Totally 192 dwelling units) at Rs No: 4834/3pt, Block No: 111, T Nagar Village, North Giriappa Road, Chennai District.",CMDA issued Planning Permission in Lr No: C3(S)/293/2023 dated 29/11/2023. Greater Chennai Corporation issued Building Permission in Lr No: CEBA/WDCN09/00159/2024 dated 24/04/2024.,12.09.2025,"https://rera.tn.gov.in/public-view1/building/pfirm/085ce760-3d17-11ef-a828-b544387ba441, https://rera.tn.gov.in/public-view2/building/pfirm/69926510-3d26-11ef-9320-b9642a260f4a",
2024,134,TN/11/Building/0434/2024 dated 25-07-2024,"M/S. Sree Daksha Infrastructure, Plot No.No1, Gandhi layout, Maruthamalai Main Road, Vadavalli Village , Taluk.Perur, Coimbatore, Tamil Nadu-641046.","Project Name: SREE DAKSHA 'S CALLIA Registration for Block No. A, B, C of Stilt Floor + 5 Floors residential building with 134 Dwelling Units comprised in Survey No. 730/1A, 730/1B1, 731/3A of  Vadavalli Village, Perur Taluk, Coimbatore Corporation, Coimbatore District.","Joint Director, T&CP, Coimbatore District,  issued Planning Permission No.389/2024 in Letter No. SWP/ BPA / 227758/ 2024 Dated 20/06/2024. The Commissioner, Coimbatore City Municipal Corporation, issued Building Permission in Letter No. 162/BL/2024/03/039/01947, Dated 05/07/2024.",31.07.2029,"https://rera.tn.gov.in/public-view1/building/pfirm/e701a5d0-3d2e-11ef-bc3c-e531c8c3840f, https://rera.tn.gov.in/public-view2/building/pfirm/384324d0-3dcc-11ef-8b31-dd80d714fed5",
2024,135,TN/29/Building/0435/2024 dated 26-07-2024,"M/s. Tamil Nadu Urban Habitat Development Board (TNUHDB), Appasamy Muddali 6th cross Street, Taluk.Egmore, Chennai, Tamil Nadu-600 029.","Registration for Group Development of Block 1 - Stilt Floor + 4 Floors residential building with 40 dwelling units , Block 2 - Stilt Floor + 4 Floors residential building with 28 dwelling units and totalling 68 dwelling units at Appasamy Mudali 6th Cross Street , Egmore , Chennai. Comprised in R.S.No. 352/2  , Block No. 19 of Egmore  Village , Egmore Taluk , Chennai  District.","The  Member Secretary , CMDA , Chennai has given planning permission vide letter No.  PC/NHRB/B3/502/2023 dated 29.12.2023.  The  Executive  Engineer (T.P.) , Greater Chennai Corporation , Chennai has given building permission vide letter No. CEBA/WDCN08/00131/2024 dated 01.04.2024.",10.06.2025,"https://rera.tn.gov.in/public-view1/building/pfirm/7ec180d0-0b96-11ef-a11a-e5c5fb2889ff, https://rera.tn.gov.in/public-view2/building/pfirm/1e5726e0-0ba2-11ef-9015-8f47e00e3728",
2024,136,TN/35/Building/0436/2024 dated 26-07-2024,"M/s.CHAITANYA FOUNDATIONS PRIVATE  LIMITED, Door No.39, Karpagam Gardens,  1st Main Road, Adyar, Chennai, Tamil Nadu-600020.","Project Name: CERULEAN Registration of Promoter share for Flat 1A in First Floor, Flat 2A in Second Floor, Flat 2B in Second Floor, Flat 3A in Third Floor, Flat 4A in Fourth Floor and Flat 5A in Fifth Floor totally 6 Flats in the Residential building consisting of Stilt Floor +  5 Floors Floors comprised in Survey No. 99/6C1A2B of Muttukadu Village / Panchayat,  Thiruporur Panchayat Union / Taluk, Chengalpattu District.","The Assistant Director,  T & CP,  Chengalpattu District issued planning permission No. SWP/B.P/M.L.P.A (CD-5) No.05/2024 in Letter No. SWP/BPA/0048554/2023, dated 11/01/2024. The President, Muttukadu Village Panchayat issued Building Permit in Letter ROC. No.10/2024 - 2025, dated 21.06.2024.",10.01.2032,"https://rera.tn.gov.in/public-view1/building/pfirm/e3817320-f66a-11ee-a230-4f632d9847a9, https://rera.tn.gov.in/public-view2/building/pfirm/130c5ab0-f66e-11ee-823c-6b4d252e94fc",
2024,137,TN/11/Building/0437/2024 dated 26-07-2024,"M/s. Diamond City Developers India Private Limited rep by its Director Tvl.G.Visvanathan and K.Selvam, Flat No.A8, Tower  - 1, Door No.DIAMOND CITY VYOMA APARTMENT, Sundapalayam Road, Kumarapalayam Village , Poosaripalayam, Taluk.Perur, Coimbatore, Tamil Nadu-641003.","Project Name: Solitaire Registration for Residential Building with 39 dwelling units in (Old S.F.No. 387/1 & 387/2B) New T.S.No. 37/1 and 37/2B of Ward No. 44, Block No. 3, Kumarapalayam Village, Perur Taluk, Coimbatore Corporation, Coimbatore District.","The Joint Director, Coimbatore District issued Planning Permission No. 635/2023 in Letter No. SWP/BPA/009138/2023 dated 20/11/2023. The Commissioner, Coimbatore City Municipal Corporation issued Building permission No. 162/BL/2024/03/074/00664 in Letter No. 1162/CP/23-24/0225630 dated 05/03/2024.",15.04.2032,"https://rera.tn.gov.in/public-view1/building/pfirm/10dad570-fb8e-11ee-8f12-8b4fbaf609a4, https://rera.tn.gov.in/public-view2/building/pfirm/b47daf90-02aa-11ef-a5e5-93107341d486",
2024,138,TN/35/Building/0438/2024 dated 26-07-2024,"M/s.DRA AADITHYA SOUTH CITY PROJECTS PVT LTD, Lloyds Road, Avvai Sanmugam salai, Royapettah, Chennai, Tamil Nadu-600014.","Project Name: DRA INARA (PHASE - 1) Registration for  Ground Floor + 2 Floors with 16 plots   (16 Villas) Comprised in S.No. 47/3A,  4A, 5, 6A, 7A, 8 & 47/10A   in Karanai Village, Vandalur Taluk, Chengalpattu District.","The President , Thazhambur Village Panchayat issued building permission in Letter No. Plot No.03, B.A NO - 12 dt 18/05/2024 & Roc.No.3 dt 21.06.2024, Plot No.04, B.A NO - 13 dt 21/05/2024 & Roc.No.3 dt 22.06.2024,  Plot No.05, B.A NO - 14 dt 21/05/2024 & Roc.No.3 dt 22.06.2024, Plot No.06, B.A NO - 15 dt 21/05/2024 & Roc.No.3 dt 22.06.2024, Plot No.07, B.A NO - 16 dt 21/05/2024 &  Roc.No.3 dt 22.06.2024,  Plot No.08, B.A NO - 17 dt 21/05/2024 & Roc.No.3 dt 27.06.2024,  Plot No.09, B.A NO - 18 dt 21/05/2024 & Roc.No.3 dt 21.06.2024, Plot No.10, B.A NO - 19 dt 21/05/2024 & Roc.No.3 dt 21.06.2024, Plot No.11, B.A NO - 20 dt 22/05/2024 & Roc.No.3 dt 21.06.2024, Plot No.12, B.A NO - 21 dt 22/05/2024 & Roc.No.3 dt 21.06.2024, Plot No.13, B.A NO - 30 dt 21/05/2024 & Roc.No.3  dt 21.06.2024, Plot No.14, B.A NO - 23 dt 21/05/2024 & Roc.No.3 dt 27.06.2024, Plot No.15,B.A NO - 24 dt 21/05/2024 & Roc.No.3 dt 26.06.2024, Plot No.16,B.A NO - 25 dt 21/05/2024 & Roc.No.3 dt 21.06.2024, Plot No.17,B.A NO -  26 dt  22/05/2024 & Roc.No.3 dt 21.06.2024, Plot No.20 ,B.A NO - 22 dt  22/05/2024 & Roc.No.3 dt 21.06.2024.",21.06.2029,"https://rera.tn.gov.in/public-view1/building/pfirm/5e959bb0-3868-11ef-9509-a5bb276e2ae6, https://rera.tn.gov.in/public-view2/building/pfirm/ac196540-386a-11ef-98f0-dfe3bef64c6a",
2024,139,TN/29/Building/0439/2024 dated 26-07-2024,"1.M/s.Anirudh Foundation Pvt Ltd Rep by its Managing Director Thiru.S.Vijayakumar, 2. Vasanth Ramakrishnan, 3. Indira Vasanth, 4. Priya Suryakumar, 5. Guruvenkatesh, 6. D.Sethuraman, 7. Preetha Venkatesh, 8. G.Sridharan., Door No.Old No.58K, New No.6K, ""Nutech Vikash"" Jawaharlal Nehru Salai, Ashok Nagar 1st Avenue, Chennai, Tamil Nadu-600083.","Project Name: ANIRUDH ANJANEYA Registration for Stilt Floor + 5 Floors of Residential Building with 12 dwelling units at New Door No. 4/F5, Old Door No.C/F5, 56th Street, Ashok Nagar, Chennai, Comprised in Old S.No.223/3 Part, 223/4 Part & 223/5 Part, as per patta T.S.No.50, Block No.72 of Kodambakkam village within the limits of Greater Chennai Corporation, Chennai District.","The CMDA issued planning permission No.OL-PP/NHRB/0503/2023 in Letter No.CMDA/PP/NHRB/C/0324/2023 dated 21/12/2023. The Greater Chennai Corporation issued building permission in Letter No.CEBA/WDCN10/00058/2024, Dated 23/02/2024.",14.06.2028,"https://rera.tn.gov.in/public-view1/building/pfirm/480a3ec0-2d8a-11ef-ad8f-25f9181f9777, https://rera.tn.gov.in/public-view2/building/pfirm/6b195650-2d99-11ef-979d-2f8b826c13d9",
2024,140,TN/1/Building/0440/2024 dated 26-07-2024,"M/s.MP Developers, Plot No.plot no 3, Tannery street, Somasundaram nagar, pallavaram, Chengalpattu, Tamil Nadu-600043.","Project Name: MP Petals Registration of Residential Building at Stilt Floor + 3 Floos with 114 Dwelling Units at Plot Nos.1 to 19, ""MP PETALS"", Manikandan Nagar Extension, comprised in Old S.No.509/1C, As per patta S.No.509/1C1G1A and 509/1C1G1C of Kundrathur ""B"" Village, Kundrathur Taluk, Kancheepuram District.","The Commissioner, Kundrathur Municipality issued Planning Permission Lr.Nos. 65/2024, 66/2024, 67/2024 dated 23.05.2024 & 80/2024, 81/2024, 82/2024 dated 31.05.2024 & 98/2024, 99/2024, 100/2024, 101/2024 dated 03.06.2024 & 137/2024, 138/2024, 139/2024 dated 18.06.2024 & 115/2024, 116/2024 dated 10.06.2024 & 160/2024, 161/2024, 162/2024 dated 26.06.2024 & 168/2024 dated 01.07.2024.  The Commissioner, Kundrathur Municipality issued Building Permission Lr.Nos:179/BL/2024/00067, 179/BL/2024/00068, 179/BL/2024/00069 dated 23.05.2024 & 179/BL/2024/00081, 179/BL/2024/00082, 179/BL/2024/00083 dated 31.05.2024 & 179/BL/2024/00099, 179/BL/2024/00100, 179/BL/2024/00101, 179/BL/2024/00102 dated 03.06.2024 & 179/BL/2024/00116, 179/BL/2024/00117 dated 10.06.2024 & 179/BL/2024/00161, 179/BL/2024/00162, 179/BL/2024/00163 dated 26.06.2024 & 179/BL/2024/00138, 179/BL/2024/00139, 179/BL/2024/00140 dated 18.06.2024 & 179/BL/2024/00169 dated 01.07.2024.",30.04.2029,"https://rera.tn.gov.in/public-view1/building/pfirm/c95ee820-39bf-11ef-a11b-b70f313af103, https://rera.tn.gov.in/public-view2/building/pfirm/cc8c3090-3a00-11ef-a9c5-933c029b6eda",
2024,141,TN/35/Building/0441/2024 dated 26-07-2024,"M/s.VGN HOMES PRIVATE LIMITED, Door No.333, 333, Poonamallee High Road, Amaindakari, AMAINDAKARAI Village , Taluk.CHENNAI, Chennai, Tamil Nadu-600030.","Project Name: VGN PRIDE DE' VILLA Registration for Group Development Residential Building with 32 dwelling units  comprised in Survey No. 225/1  Padur  Village, Chengalpattu Taluk, Chengalpattu District.","The Assistant Director, DTCP, Chengalpattu issued planning permission in P.P.No. SWP/B.P/M.L.P.A (CD-5) No.19/2024 vide  Letter No. : SWP/BPA/010986/2023 Dated 29/02/2024. The President, Padur Panchayat Union  issued building permission in Letter No. Panchayat Council Number  -15/20.06.2024, Dated 22/06/2024.",27.02.2032,"https://rera.tn.gov.in/public-view1/building/pfirm/46d158e0-31ee-11ef-9403-ed232b889d52, https://rera.tn.gov.in/public-view2/building/pfirm/5d3156d0-3217-11ef-97c1-ddcf2b7c3be7",
2024,142,TN/1/Building/0442/2024 dated 26-07-2024,"M/s. MP DEVELOPERS, Plot No.Plot No. 3, Tannery Street , Pallavaram, Chennai - 600  043, Chengalpattu, Tamil Nadu-","Project Name: MP Greenbay Registration for Group Development project at 
Plot No. 3 - Stilt Floor + 3 Floors with 6 dwelling units 	
Plot No. 4 & 5 -  Stilt Floor + 3 Floors with 6 dwelling units 	
Plot No. 6 & 7 - Stilt Floor + 3 Floors with 8 dwelling units 	
Plot No. 8 - Stilt Floor + 3 Floors with 6 dwelling units 	
Plot No. 9 - Stilt Floor + 3 Floors with 6 dwelling units 	
Plot No. 10 - Stilt Floor + 3 Floors with 6 dwelling units 	
Plot No. 11 - Stilt Floor + 3 Floors with 6 dwelling units 	
Plot No. 12 - Stilt Floor + 3 Floors with 6 dwelling units 	
and by totalling 50 dwelling units Comprised in S.Nos. 60/1A1A , 64/3A1 of  Moondramkattalai  Village , Kundrathur  Taluk , Kancheepuram District.","The Commissioner , Kundrathur Municipality has approved the planning permission vide letter Nos. 127/2024  dated 11.06.2024 for Plot No. 3 , 126/2024 dated 11.06.2024 for Plot No. 4 & 5 , 133/2024 dated 13.06.2024 for Plot No. 6 & 7 , 125/2024 dated 11.06.2024 for Plot No. 8 , 124/2024  dated 11.06.2024 for Plot No. 9 , 123/2024  dated 11.06.2024 for Plot No. 10 , 136/2024 dated 18.06.2024 for Plot No. 11 , 122/2024  dated 11.06.2024 for Plot No. 12.
The Commissioner , Kundrathur Municipality has approved the Building Permission  vide letter Nos. 179/BL/2024/00128 dated 11.06.2024 for  Plot No. 3  , 179/BL/2024/00127 dated 11.06.2024 for Plot No. 4 & 5 , 179/BL/2024/00134 dated 13.06.2024 for Plot No. 6 & 7 , 179/BL/2024/00126 dated 11.06.2024 for Plot No. 8 , 179/BL/2024/00125   dated 11.06.2024 for Plot No. 9  , 179/BL/2024/00124 dated 11.06.2024 for Plot No. 10 , 179/BL/2024/00137 dated 18.06.2024 for Plot No. 11 , 179/BL/2024/00123 dated 11.06.2024 for Plot No. 12.",31.12.2028,"https://rera.tn.gov.in/public-view1/building/pfirm/32ed0880-386b-11ef-bac6-db4cafa781cf, https://rera.tn.gov.in/public-view2/building/pfirm/7ced6d40-3875-11ef-ba36-5b5abc6f2044",
2024,143,TN/29/Building/0443/2024 dated 05-08-2024,"M/s. Altis Properties Private Limited, Blue Haven, 4th floor, Harrington Road, Chetpet, Chennai, Tamil Nadu-600031.","Project Name: ELEVENDER Registration for High Rise Building with 36.0m Height consisting of Extended Basement Floor Part (Pump Room & Pit Parking) + Stilt Floor Part (Pit Parking) / Ground Floor Part (Double height Lobby) + 11 Floors Residential Building (Gym, Multi-Purpose Hall & Games Room at 1st Floor Level) With 28 Dwelling Units availing with Premium FSI at Old Door No. 20L (Part), New Door No. 09, 10 & 11, Greenways Road (Dr. D G S Dhinakran Salai), Raja Annamalaipuram, Chennai - 600 028 comprised in Old Survey No. 13, New R.S. No. 4274/12, 4274/13, 4274/14, 4274/42 & 4274/43 in Block No. 93 of Mylapore Village, Mylapore Taluk, Chennai District.","CMDA issued Planning Permission in OL-PP/HRB/0015/2024 in Letter No. CMDA/PP/HRB/S/0770/2023, dated 19/06/2024. The Executive Engineer (T.P), Greater Chennai Corporation issued building permission in Letter No. CEBA/WDCN13/00277/2024, dated 27/06/2024.",31.12.2027,"https://rera.tn.gov.in/public-view1/building/pfirm/c7699bb0-3ab3-11ef-8f34-3dbe9fda08bf, https://rera.tn.gov.in/public-view2/building/pfirm/8edc0060-4417-11ef-98e7-7d468c18e26f",
